,original,gemini_translation
39,Player: I don't get it. Is this the Star Forge?,"খেলোয়াড়: আমি এটা বুঝতে পারছি না। এটা কি স্টার ফোর্জ?
"
40,"Sslamoth: Very well, but before we place your swoop in the starting position, I must collect the 100 credit fee.","সালামথ: বেশ, তবে আপনার স্কুপটি শুরুর অবস্থানে বসানোর আগে, আমাকে ১০০ ক্রেডিট ফি নিতে হবে।
"
41,Conversation owner: [This door is locked and will not open at the moment.],"[এই দরজাটি তালাবন্ধ এবং এই মুহূর্তে খুলবে না।]
"
42,Yuthura Ban: Speak with Master Uthar; he will give you the final test.,"ইউথুরা বান: মাস্টার উথারের সাথে কথা বলো; তিনি তোমাকে চূড়ান্ত পরীক্ষা দেবেন।
"
43,Player: You should not keep worrying like this.,"খেলোয়াড়: তোমার এভাবে চিন্তা করা উচিত না।
"
44,Junkpile Droid: You leave the droid alone for now.,"আবর্জনা স্তূপের ডроид: তুমি এখন ড্রয়েডকে একা থাকতে দাও।
"
45,"Carth: *whisper* It's obvious he doesn't believe you. He must have some reason for letting you get away with this lie. I swear, I'll never understand these Jedi.","কার্থ: *ফিসফিস করে* এটা স্পষ্ট যে সে তোমাকে বিশ্বাস করে না। নিশ্চয়ই তোমার এই মিথ্যে চালিয়ে যেতে দেওয়ার পেছনে তার কোনো কারণ আছে। আমি কसम, আমি এই জেডিদের কখনও বুঝব না।
"
46,Carth: Why did you do that? Sometimes... sometimes I just can't understand how you can be so cruel.,"কার্থ: তুমি এটা কেন করলে? মাঝে মাঝে... মাঝে মাঝে আমি বুঝতেই পারি না তুমি এত নিষ্ঠুর কিভাবে হতে পারো।
"
47,"Garm Totryl: New swoop jocks like me don't get much respect. Just takes practice, I guess.","গার্ম টট্রিল: আমার মতো নতুন সুইপ জকদের কেউ তেমন সম্মান করে না। মনে হয়, শুধু অভ্যাসের দরকার।
"
48,Player: Is there some point to this?,"খেলোয়াড়: এর কোনো মানে আছে?
"
49,Docking Bay Guard: We'll watch your ship like any other. The bay is safe.,"ডকিং বে গার্ড: আমরা অন্য যেকোনো জাহাজের মতোই আপনার জাহাজের দিকে খেয়াল রাখব। পোতাশ্রয় নিরাপদ।
"
50,"Player: My money is my own business.
Yuka Laka: Of course it is, of course, but you must appreciate the finer things. Just take a look at the droid I have available. An HK-47.","খেলোয়াড়: আমার টাকা আমার নিজের ব্যাপার।
ইউকা লাকা: অবশ্যই, অবশ্যই, তবে আপনাকে অবশ্যই ভালো জিনিসগুলির কদর করতে হবে। আমার কাছে যে ড্রয়েডটি আছে, সেটির দিকে একবার দেখুন। একটি এইচকে-৪৭।
"
51,"Player: What's this? Love advice from an old Jedi?
Jolee: And why not? All this nonsense about avoiding love is so much foo-foo. I shouldn't be the only one who realizes that.","খেলোয়াড়: এটা কী? এক বৃদ্ধ জেডির কাছ থেকে প্রেমের উপদেশ?
জোলী: কেন নয়? প্রেম এড়িয়ে চলার এই সব বাজে কথা একদম ফালতু। শুধু আমি কেন এটা বুঝি না, সেটাই আশ্চর্যের!
"
52,"Player: I will race, and I will win.
Hukta Jax: Then you and Hukta Jax are gonna have problems, I promise you that. You was warned, fair and square.","প্লেয়ার: আমি রেস করব, এবং আমিই জিতব।
হুক্তা জ্যাক্স: তাইলে তুমি আর হুক্তা জ্যাক্সের মধ্যে সমস্যা হবে, আমি তোমারে কথা দিলাম। তোমারে ন্যায্যভাবে সাবধান কইরা দেওয়া হইলো।
"
53,"Player: Perhaps you are right. You are safe... for now.
Komad Fortuna: There seems to be no reason for your anger, human. You would be wise to control it, lest it bury you.","খেলোয়াড়: হয়তো তুমিই ঠিক। তুমি নিরাপদ... আপাতত।
কোমাড ফরচুনা: তোমার রাগের কোনো কারণ দেখছি না, মানুষ। বুদ্ধিমানের কাজ হবে এটাকে নিয়ন্ত্রণ করা, নতুবা এটা তোমায় কবর দেবে।
"
54,"Player: Sorry, I'll be going now.
Sith Trooper: Good. Get back to your patrol route. We need to keep a strong presence in the streets to maintain order here.","খেলোয়াড়: দুঃখিত, আমি এখন যাব।
সিথ ট্রুপার: ভালো। তোমার টহল পথে ফিরে যাও। এখানে শৃঙ্খলা বজায় রাখার জন্য রাস্তায় আমাদের একটি শক্তিশালী উপস্থিতি রাখা দরকার।
"
55,"Player: It's nothing special.
Shaleena: Not to you, I suppose. But you're probably used to its beauty by now.","খেলোয়াড়: এটা বিশেষ কিছু না।
শালিনা: আপনার কাছে না হয়। তবে আপনি হয়তো এতদিনে এর সৌন্দর্যের সাথে অভ্যস্ত হয়ে গেছেন।
"
56,"Player: No! This isn't the Bastila I knew!
Conversation owner: Of course not! I have been reborn in the wake of destiny... *your* destiny! The power of the dark side is yours by right!","খেলোয়াড়: না! এই সেই বাস্তিলা নয়, যাকে আমি চিনতাম!
কথোপকথনের মালিক: অবশ্যই না! আমি ভাগ্যের স্রোতে পুনর্জন্ম নিয়েছি... *তোমারই* ভাগ্য! অন্ধকার দিকের শক্তি তোমার জন্মগত অধিকার!
"
57,"Player: I just want to talk.
Juhani: Talk?! You who have beaten me so easily just want to talk? I do not believe it. Kill me now, while you still have the power.","খেলোয়াড়: আমি শুধু কথা বলতে চাই।
জুহানি: কথা?! তুমি, যে আমাকে এত সহজে পরাজিত করেছ, শুধু কথা বলতে চাও? আমি বিশ্বাস করি না। এখনই আমাকে হত্যা করো, যতক্ষণ তোমার ক্ষমতা আছে।
"
58,"Player: I don't know. Everything has changed, now.
Conversation owner: That's what I feared. Who's to say your old life won't come back... everything you felt and thought, all of it?","প্লেয়ার: আমি জানি না। সবকিছু এখন বদলে গেছে।
কথোপকথন মালিক: সেটাই আমার ভয় ছিল। কে বলতে পারে তোমার পুরনো জীবন ফিরে আসবে না... তুমি যা অনুভব করেছ এবং ভেবেছ, সবকিছু?
"
59,"Mandalorian Mercenary: So the Sith smoked a Jedi outpost on Dantooine. No survivors, or so they say. First Taris, now Dantooine. Wouldn't surprise me if the Republic starts hiring mercs to make a counter attack.
Mandalorian Mercenary: They might even hire some Echani or Iridorian mercenaries, if they're desperate. I bet a Mandalorian could make some good money working for the Republic right now.","মান্ডালোরিয়ান ভাড়াটে সৈনিক: তাহলে সিথরা ড্যান্টুইনে একটি জেডি ঘাঁটি জ্বালিয়ে দিয়েছে। কোনো জীবিত নেই, অন্তত এমনটাই তারা বলে। প্রথমে ট্যারিস, এখন ড্যান্টুইন। আমার অবাক লাগবে না যদি রিপাবলিক পাল্টা আক্রমণের জন্য ভাড়াটে সৈনিক নিয়োগ করা শুরু করে।
মান্ডালোরিয়ান ভাড়াটে সৈনিক: এমনকি তারা কিছু এখানি বা ইরিডোরিয়ান ভাড়াটে সৈনিকও নিয়োগ করতে পারে, যদি তারা মরিয়া হয়ে ওঠে। আমি বাজি ধরতে পারি একজন মান্ডালোরিয়ান এই মুহূর্তে রিপাবলিকের হয়ে কাজ করে ভালো টাকা কামাতে পারবে।
"
60,"Player: [Computer] Gas room. (<CUSTOM32> spike(s))
Conversation owner: [SUCCESS] SWITCHING TO CAMERA.","প্লেয়ার: [কম্পিউটার] গ্যাস চেম্বার। (<CUSTOM32> স্পাইক)।
কথোপকথনের মালিক: [সফল] ক্যামেরাতে পরিবর্তন করা হচ্ছে।
"
61,"Player: Who are you?
Daviktroop041: That's Canderous Ordo! He's the most famous Mandalorian mercenary in this sector of the galaxy!","খেলোয়াড়: তুমি কে?
ডাভিকট্রুপ০৪১: এই তো ক্যান্ডেরাস অর্ডো! সে এই ছায়াপথের সবচেয়ে বিখ্যাত ম্যান্ডালোরিয়ান ভাড়াটে যোদ্ধা!
"
62,"Player: I remember you. Mekel, right?
Mekel: That's right. You might as well just go home, you know. There can only be one Sith this year, and that's me.","খেলোয়াড়: আমার মনে আছে তোমাকে। মেকেল, তাই না?
মেকেল: ঠিক বলেছ। তুমি বরং বাড়ি গেলেই পারো, বুঝলে? এই বছর একজনই Sith হতে পারবে, আর সে আমি।
"
63,"Player: I like this side of you, Bastila. Now we can truly be together.
Conversation owner: You think so, do you? You style yourself the Master of the Sith that you once were? To think I once envied you your passion, your power.","প্লেয়ার: বাস্তিলা, আমি তোমার এই দিকটা পছন্দ করি। এখন আমরা সত্যিই একসাথে হতে পারব।
কথোপকথন মালিক: তাই মনে করো, তাই না? তুমি নিজেকে সেই সিথের মাস্টার ভাবো, যা তুমি একসময় ছিলে? ভাবতেও ঘৃণা হয়, একসময় আমি তোমার আবেগ, তোমার ক্ষমতার প্রতি ঈর্ষান্বিত ছিলাম।
"
64,"Player: Get out of my way.
Prospective Sith: Oh... uh, yes of course.","খেলোয়াড়: আমার পথ থেকে সরো।
সম্ভাব্য সিথ: ওহ... হ্যাঁ, অবশ্যই।
"
65,"Player: [Lie] Yes, I'm sure they'll welcome you with open arms.
Rakatan Hologram: You must go now, Revan. The Star Forge feeds the power of your old apprentice. If you do not stop him soon he will become too powerful for even you to stop.","খেলোয়াড়: [মিথ্যা] হ্যাঁ, আমি নিশ্চিত তারা তোমাকে খোলা বাহু দিয়ে স্বাগত জানাবে।
রাকাটান হলোগ্রাম: তোমাকে এখন যেতে হবে, রেভান। স্টার ফোর্জ তোমার পুরনো শিক্ষানবিশের শক্তি যোগাচ্ছে। তুমি যদি তাকে শীঘ্রই থামাতে না পারো, তবে সে এত শক্তিশালী হয়ে উঠবে যে এমনকি তুমিও তাকে থামাতে পারবে না।
"
66,"Shaelas: Human, you return. Have you information for me? Have you discovered the fate of the missing Selkath youth? Have you news of my daughter, Shasa?
Player: Not yet. I shall investigate further.","শালাস: মানুষ, তুমি ফিরে এসেছ। আমার জন্য কি কোনো খবর এনেছ? সেই নিখোঁজ সেলকাথ যুবকের ভাগ্যের কোনো সন্ধান পেয়েছ? আমার মেয়ে শাশার কোনো খবর আছে কি?
খেলোয়াড়: এখনো পাইনি। আমি আরও তদন্ত করব।
"
67,"SithTrooper1: We found a disabled hunter-killer droid in the back of the ship.
SithCommander: Excellent. We can reprogram this droid to fight in our own army. Wipe its memory chip and take it to the salvage shop. The technicians will deal with it later.","SithTrooper1: আমরা জাহাজের পিছনে একটি বিকল শিকারী-ঘাতক ড্রয়েড খুঁজে পেয়েছি।
SithCommander: চমৎকার। আমরা এই ড্রয়েডটিকে আমাদের নিজেদের সেনাবাহিনীতে লড়াই করার জন্য পুনরায় প্রোগ্রাম করতে পারি। এর মেমরি চিপ মুছে ফেলো এবং এটিকে ভাঙার দোকানে নিয়ে যাও। প্রযুক্তিবিদরা পরে এটা দেখবে।
"
68,"Juhani: It seems I was mistaken... I should have known things could not change for me that easily.
Juhani: As it is the Council's wishes, I will accompany you. I will do my duty, and trust that you will do yours.","জুহানি: মনে হচ্ছে আমি ভুল করেছিলাম... আমার জানা উচিত ছিল যে আমার জন্য चीजें এত সহজে পরিবর্তন হতে পারে না।
জুহানি: যেহেতু এটি কাউন্সিলের ইচ্ছা, আমি আপনার সাথে যাব। আমি আমার কর্তব্য পালন করব, এবং বিশ্বাস করি আপনিও আপনার कर्तव्य পালন করবেন।
"
69,"Player: And what does that have to do with you coming with me?
Jolee: Well, hey, the chances may not be great, but when one has the opportunity to see something like that twice in a lifetime...","খেলোয়াড়: আর সেটার সাথে আমার সাথে তোমার আসার কী সম্পর্ক?
জোলী: আরে বাবা, সুযোগ হয়তো বেশি নেই, কিন্তু জীবনে দুবার এমন কিছু দেখার সুযোগ পেলে কি আর হাতছাড়া করা যায়...
"
70,"Player: I did. It was... very interesting.
Motta the Hutt: Eh? You opened it but you're still around to deliver it to me? Impressive. More likely you're just lying, but I don't care.","খেলোয়াড়: হ্যাঁ। এটা... খুবই মজার ছিল।
মোট্টা দ্য হাট: এহ? তুই খুলেছিস, কিন্তু ডেলিভারি দেওয়ার জন্য এখনও বেঁচে আছিস? বাহ! সম্ভবত মিথ্যে বলছিস, কিন্তু আমার কিছু যায় আসে না।
"
71,"Player: Hangar
Conversation owner: [You have to get to the bridge and unlock the docking bay doors before you go down to the hangar.]","খেলোয়াড়: হ্যাঙ্গার
কথোপকথনের মালিক: [হ্যাঙ্গারে যাওয়ার আগে তোমাকে অবশ্যই ব্রিজে গিয়ে ডকিং বে-র দরজা খুলতে হবে।]
"
72,"Player: I'm sorry... I tried my best.
Rogue Assassin Droid: I... I would have liked to...","খেলোয়াড়: আমি দুঃখিত... আমি আমার সাধ্যমতো চেষ্টা করেছি।
দুষ্টু গুপ্তঘাতক ড্রয়েড: আমি... আমি পছন্দ করতাম যদি...
"
73,"Player: Never mind. Goodbye.
Matton Dasol: All right then. Here, I should toss you a few credits for helping. I appreciate what you did.","খেলোয়াড়: কিছু না। বিদায়।
ম্যাটন ড্যাসোল: ঠিক আছে তাহলে। এই নিন, সাহায্যের জন্য কিছু ক্রেডিট দেওয়া উচিত। আপনি যা করেছেন তার জন্য আমি কৃতজ্ঞ।
"
74,"Player: I agree.
Yuthura Ban: There is suffering and injustice in the universe. I am surprised the Jedi can even stand the stench of it, much less stand by and do nothing.","খেলোয়াড়: আমি একমত।
ইউথুরা বান: এই মহাবিশ্বে কষ্ট আর অবিচার লেগেই আছে। আমি তো অবাক হই, এর দুর্গন্ধে জ্যাডিরা টেঁকেই বা কী করে, আর তার ওপর চুপ করে বসে থাকে কিছুই করে না।
"
75,"Player: I'll tell her when I see her.
Helena: See that you do. If Bastila is here, I can't see why she didn't come herself.","খেলোয়াড়: আমি তাকে দেখলে বলব।
হেলেনা: খেয়াল রাখবে যেন বলো। বাস্তিলা যদি এখানে থাকে, তবে কেন সে নিজে এলো না, সেটাই আমি বুঝতে পারছি না।
"
76,"Player: [Persuade/Lie] You have to attack one of the Sith for it.
Prospective Sith: [Success] Oh. I'm not much of a combatant... but I guess you have to be brave if you're going to get into the Sith, right? I'll... have to think about it.","খেলোয়াড়: [প্ররোচিত করা/মিথ্যা বলা] এর জন্য তোমাকে একজন Sith-কে আক্রমণ করতে হবে।
সম্ভাব্য Sith: [সফল] ওহ। আমি তেমন একটা যোদ্ধা নই... তবে আমার মনে হয় Sith-এ ঢুকতে হলে সাহসী হতে হয়, তাই না? আমাকে... এটা নিয়ে ভাবতে হবে।
"
77,"Player: I haven't finished my investigation.
Conversation owner: Please, continue your investigations and find out what happened to our facility.","খেলোয়াড়: আমার তদন্ত এখনো শেষ হয়নি।
কথোপকথন মালিক: দয়া করে আপনার তদন্ত চালিয়ে যান এবং আমাদের সুবিধার কী হয়েছে তা খুঁজে বের করুন।
"
78,"Belaya: [Failure] You do not fool me for a second! The Council fawns over you and places all their hope in you to save them... you wouldn't turn on them!
Belaya: You are a spy... and a murderer. It was you who killed Juhani and placed this bitter blackness in my heart that I cannot get rid of!","বেлая: [ব্যর্থতা] তুমি আমাকে এক মুহূর্তের জন্যও বোকা বানাতে পারবে না! কাউন্সিল তোমাকে তোষামোদ করে আর তাদের বাঁচানোর জন্য তোমার উপর সব আশা রাখে... তুমি তাদের বিরুদ্ধে যাবে না!
বেлая: তুমি একজন গুপ্তচর... এবং একজন খুনি। তুমিই জুহানিকে হত্যা করেছ এবং আমার হৃদয়ে এই তিক্ত অন্ধকার বসিয়েছ যা আমি দূর করতে পারছি না!
"
79,"Bastila: I don't know. The vision of our future is clouded by shadows cast from the dark side. But I sense something ominous lurking in those shadows.
Bastila: But words alone cannot save one from the dark side. Come, we should continue with the task at hand. When the time comes I only hope we are all strong enough to do what we must.","বাস্তিলা: আমি জানি না। আমাদের ভবিষ্যতের দৃশ্য অন্ধকার দিকের ছায়া থেকে আসা মেঘে ঢাকা। কিন্তু আমি সেই ছায়ায় লুকানো কিছু অশুভ সংকেত পাচ্ছি।
বাস্তিলা: কিন্তু শুধু কথা দিয়ে কাউকে অন্ধকার দিক থেকে বাঁচানো যায় না। চলো, আমাদের হাতে থাকা কাজটি চালিয়ে যাওয়া যাক। যখন সময় আসবে, আমি শুধু আশা করি আমাদের সকলের যথেষ্ট শক্তি থাকবে যা আমাদের করতে হবে তা করার জন্য।
"
80,"Juhani: Yes we shall. I only hope that you will see this through until the end.
Juhani: Time will tell what choices you make. I shall stay by you to see this task done.","জুহানি: হ্যাঁ, আমরা করব। আমি শুধু আশা করি আপনি শেষ পর্যন্ত এটা দেখবেন।
জুহানি: সময়ই বলে দেবে আপনি কী পছন্দ করেন। এই কাজ শেষ না হওয়া পর্যন্ত আমি আপনার পাশে থাকব।
"
81,"Bountyhunt023: Davik doesn't like witnesses.
Player: Leave this man alone or you'll have to deal with me!","বাউন্টিহান্ট০২৩: ডেভিক সাক্ষী পছন্দ করে না।
প্লেয়ার: এই লোকটাকে একা ছেড়ে দাও, নাহলে আমার সাথে লড়তে হবে!
"
82,"Player: Answer my questions or I'll carve my initials in your skull with my blaster bolts!
Rodian: I mad now! See how you like me call guards! You die now!","খেলোয়াড়: আমার প্রশ্নের উত্তর দে, নাহলে আমার ব্লাস্টার দিয়ে তোর খুলিতে নিজের নাম খোদাই করে দেব!
রোডিয়ান: আমি ক্ষিপ্ত! দেখাচ্ছি মজা, গার্ডদের ডাকছি! এবার মরবি তুই!
"
83,"Player: We are linked by more than just a bond, Bastila.
Bastila: Do not mistake the power of the Force for love, Revan. It does not exist. Power is what forged our bond, and power is what made us both tools of the Jedi Council!","খেলোয়াড়: আমরা কেবল একটি বন্ধনের চেয়ে বেশি কিছু দ্বারা আবদ্ধ, বাস্তিলা।
বাস্তিলা: ভালোবাসার জন্য ফোর্সের শক্তিকে ভুল করো না, রেভান। এর কোনো অস্তিত্ব নেই। শক্তিই আমাদের বন্ধন তৈরি করেছে, এবং শক্তিই আমাদের উভয়কে জেডি কাউন্সিলের হাতিয়ার বানিয়েছে!
"
84,"Player: Tell me about this merchant Largo.
Zax: Actually, now that I think of it that bounty's no longer on the table. Davik told me Largo's bounty is off the table. I guess the merchant came up with the credits. Don't bother with that one anymore, human.","খেলোয়াড়: এই বণিক লার্জো সম্পর্কে আমাকে বলুন।
জ্যাক্স: আসলে, এখন মনে পড়ছে, ঐ পুরস্কারটা আর নেই। ডেভিক আমাকে বলেছে লার্জোর মাথার দাম বাতিল করা হয়েছে। আমার ধারণা বণিকটা টাকা জোগাড় করেছে। ওকে আর ঘাঁটিও না, মানুষ।
"
